,Year,Type,Percent,journal
1,2005,last_article,13.37278107,Science
2,2006,last_article,14.10404624,Science
3,2007,last_article,13.3960047,Science
4,2008,last_article,15.41218638,Science
5,2009,last_article,14.48763251,Science
6,2010,last_article,14.65838509,Science
7,2011,last_article,19.14634146,Science
8,2012,last_article,16.24685139,Science
9,2013,last_article,16.81528662,Science
10,2014,last_article,13.59516616,Science
11,2015,last_article,16.78657074,Science
12,2016,last_article,15.98465473,Science
13,2017,last_article,17.5,Science
14,2005,first_article,22.06896552,Science
15,2006,first_article,20.98061574,Science
16,2007,first_article,20.6185567,Science
17,2008,first_article,22.29965157,Science
18,2009,first_article,24.43919717,Science
19,2010,first_article,22.12276215,Science
20,2011,first_article,25.48543689,Science
21,2012,first_article,25.81047382,Science
22,2013,first_article,23.8744884,Science
23,2014,first_article,23.47266881,Science
24,2015,first_article,24.06199021,Science
25,2016,first_article,28.84864166,Science
26,2017,first_article,26.45259939,Science
1,2005,last_article,16.47099448,PNAS
2,2006,last_article,16.63910023,PNAS
3,2007,last_article,17.62464274,PNAS
4,2008,last_article,17.70471072,PNAS
5,2009,last_article,19.26470588,PNAS
6,2010,last_article,20.0059453,PNAS
7,2011,last_article,20.89274644,PNAS
8,2012,last_article,20.72072072,PNAS
9,2013,last_article,20.99912867,PNAS
10,2014,last_article,22.75132275,PNAS
11,2015,last_article,22.19705549,PNAS
12,2016,last_article,22.9254571,PNAS
13,2017,last_article,22.64288315,PNAS
14,2005,first_article,33.24826832,PNAS
15,2006,first_article,35.07175359,PNAS
16,2007,first_article,34.01585205,PNAS
17,2008,first_article,34.30193721,PNAS
18,2009,first_article,36.19688169,PNAS
19,2010,first_article,35.63148261,PNAS
20,2011,first_article,38.34951456,PNAS
21,2012,first_article,38.65443425,PNAS
22,2013,first_article,38.55932203,PNAS
23,2014,first_article,37.6778784,PNAS
24,2015,first_article,37.92382722,PNAS
25,2016,first_article,36.58897521,PNAS
26,2017,first_article,38.43524497,PNAS
1,2005,last_article,11.2033195,Nature
2,2006,last_article,12.2847302,Nature
3,2007,last_article,12.899106,Nature
4,2008,last_article,14.35768262,Nature
5,2009,last_article,16.77762983,Nature
6,2010,last_article,13.51351351,Nature
7,2011,last_article,14.47196871,Nature
8,2012,last_article,13.03797468,Nature
9,2013,last_article,15.33505155,Nature
10,2014,last_article,13.92081737,Nature
11,2015,last_article,18.41269841,Nature
12,2016,last_article,14.94845361,Nature
13,2017,last_article,18.27057183,Nature
14,2005,first_article,23.65482234,Nature
15,2006,first_article,20.96956032,Nature
16,2007,first_article,24.12060302,Nature
17,2008,first_article,23.40153453,Nature
18,2009,first_article,25.49019608,Nature
19,2010,first_article,25.45931759,Nature
20,2011,first_article,23.88663968,Nature
21,2012,first_article,24.6031746,Nature
22,2013,first_article,27.4535809,Nature
23,2014,first_article,26.79045093,Nature
24,2015,first_article,29,Nature
25,2016,first_article,25.92592593,Nature
26,2017,first_article,26.32331903,Nature
1,2005,last_article,24,NIH RO1 Grants
2,2006,last_article,24,NIH RO1 Grants
3,2007,last_article,25,NIH RO1 Grants
4,2008,last_article,25,NIH RO1 Grants
5,2009,last_article,26,NIH RO1 Grants
6,2010,last_article,26,NIH RO1 Grants
7,2011,last_article,27,NIH RO1 Grants
8,2012,last_article,27,NIH RO1 Grants
9,2013,last_article,27,NIH RO1 Grants
10,2014,last_article,28,NIH RO1 Grants
11,2015,last_article,28,NIH RO1 Grants
12,2016,last_article,29,NIH RO1 Grants
13,2017,last_article,29,NIH RO1 Grants
